fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,07,21,ODISHA,345,BOLANGIR,IGNDPS,3873,363,309,2012,1189,3873,1861,2024-07-30
2023-2024,07,21,ODISHA,349,BOUDH,IGNDPS,1149,108,52,764,225,1103,259,2024-07-30
2023-2024,07,21,ODISHA,351,DEOGARH,IGNDPS,891,50,60,688,93,888,365,2024-07-30
2023-2024,07,21,ODISHA,352,DHENKANAL,IGNDPS,2626,270,83,1849,424,2626,1517,2024-07-30
2023-2024,07,21,ODISHA,355,JAGATSINGHAPUR,IGNDPS,1930,278,2,1200,450,1851,859,2024-07-30
2023-2024,07,21,ODISHA,358,KALAHANDI,IGNDPS,3568,615,481,1146,1326,3451,1594,2024-07-30
2023-2024,07,21,ODISHA,363,KORAPUT,IGNDPS,4287,675,1950,1215,447,4127,1991,2024-07-30
2023-2024,07,21,ODISHA,368,NUAPADA,IGNDPS,1801,89,159,1126,427,1745,806,2024-07-30
2023-2024,07,21,ODISHA,372,SONEPUR,IGNDPS,1470,291,96,568,515,1466,847,2024-07-30
2023-2024,07,22,CHHATTISGARH,375,BILASPUR,IGNDPS,4275,314,169,2992,800,4022,2011,2024-07-30
2023-2024,07,22,CHHATTISGARH,376,DANTEWADA,IGNDPS,740,45,397,171,127,679,188,2024-07-30
2023-2024,07,22,CHHATTISGARH,385,MAHASAMUND,IGNDPS,993,140,159,220,474,966,304,2024-07-30
2023-2024,07,22,CHHATTISGARH,646,BALOD,IGNDPS,242,39,51,42,110,228,44,2024-07-30
2023-2024,07,22,CHHATTISGARH,734,"GAURELA- PENDRA-MARWAHI",IGNDPS,1256,31,149,940,136,1053,380,2024-07-30
2023-2024,07,22,CHHATTISGARH,759,"KHAIRAGARH CHHUIKHADAN GANDAI",IGNDPS,604,67,55,119,363,601,375,2024-07-30
2023-2024,07,22,CHHATTISGARH,762,SAKTI,IGNDPS,1407,347,50,572,438,1303,329,2024-07-30
2023-2024,07,22,CHHATTISGARH,763,"SARANGARH BILAIGARH",IGNDPS,695,172,44,118,361,641,116,2024-07-30
2023-2024,07,23,"MADHYA PRADESH",392,BALAGHAT,IGNDPS,2214,205,402,60,1547,1481,650,2024-07-30
2023-2024,07,23,"MADHYA PRADESH",395,BHIND,IGNDPS,1696,545,9,445,697,805,740,2024-07-30
2023-2024,05,1,"JAMMU AND KASHMIR",11,PULWAMA,IGNDPS,107,0,6,92,9,101,59,2024-07-30
2023-2024,05,1,"JAMMU AND KASHMIR",12,RAJAURI,IGNDPS,103,6,8,89,0,34,1,2024-07-30
2023-2024,05,1,"JAMMU AND KASHMIR",4,DODA,IGNDPS,222,19,12,191,0,144,8,2024-07-30
2023-2024,05,1,"JAMMU AND KASHMIR",624,SAMBA,IGNDPS,63,11,8,43,1,34,3,2024-07-30
2023-2024,05,10,BIHAR,197,GOPALGANJ,IGNDPS,3448,651,161,1533,1103,1828,2765,2024-07-30
2023-2024,05,10,BIHAR,199,JEHANABAD,IGNDPS,378,62,15,223,78,239,225,2024-07-30
2023-2024,05,10,BIHAR,201,KATIHAR,IGNDPS,2102,111,22,1817,152,1429,1629,2024-07-30
2023-2024,05,10,BIHAR,203,KISHANGANJ,IGNDPS,3276,123,34,2811,308,2503,2569,2024-07-30
2023-2024,05,10,BIHAR,205,MADHEPURA,IGNDPS,9569,726,102,8386,355,6148,7358,2024-07-30
2023-2024,05,10,BIHAR,210,NAWADA,IGNDPS,2055,452,18,868,717,1473,1581,2024-07-30
2023-2024,05,10,BIHAR,211,"PASHCHIM CHAMPARAN",IGNDPS,5622,762,195,3988,677,3022,4111,2024-07-30
2023-2024,05,10,BIHAR,217,SAMASTIPUR,IGNDPS,4608,701,22,3390,495,3301,3691,2024-07-30
2023-2024,05,10,BIHAR,611,ARWAL,IGNDPS,2877,395,26,2393,63,1762,2130,2024-07-30
2023-2024,05,12,"ARUNACHAL PRADESH",238,TAWANG,IGNDPS,129,0,129,0,0,74,13,2024-07-30
2023-2024,05,12,"ARUNACHAL PRADESH",239,TIRAP,IGNDPS,163,0,163,0,0,85,0,2024-07-30
2023-2024,05,13,NAGALAND,248,PHEK,IGNDPS,145,0,145,0,0,0,0,2024-07-30
2023-2024,05,13,NAGALAND,250,WOKHA,IGNDPS,110,0,110,0,0,0,0,2024-07-30
2023-2024,05,13,NAGALAND,613,PEREN,IGNDPS,51,0,51,0,0,0,0,2024-07-30
2023-2024,05,13,NAGALAND,614,KIPHIRE,IGNDPS,75,0,75,0,0,12,4,2024-07-30
2023-2024,05,14,MANIPUR,252,BISHNUPUR,IGNDPS,24,4,0,20,0,14,0,2024-07-30
2023-2024,05,14,MANIPUR,255,"IMPHAL EAST",IGNDPS,184,2,2,3,177,92,22,2024-07-30
2023-2024,05,14,MANIPUR,256,"IMPHAL WEST",IGNDPS,172,9,3,1,159,109,3,2024-07-30
2023-2024,05,14,MANIPUR,258,TAMENGLONG,IGNDPS,49,0,49,0,0,16,0,2024-07-30
2023-2024,05,14,MANIPUR,259,THOUBAL,IGNDPS,168,27,0,0,141,35,0,2024-07-30
2023-2024,05,15,MIZORAM,261,AIZAWL,IGNDPS,226,1,219,6,0,154,158,2024-07-30
2023-2024,05,16,TRIPURA,272,"WEST TRIPURA",IGNDPS,411,89,55,164,103,180,8,2024-07-30
2023-2024,05,17,MEGHALAYA,273,"EAST GARO HILLS",IGNDPS,130,1,123,6,0,115,5,2024-07-30
2023-2024,05,17,MEGHALAYA,663,"SOUTH WEST GARO HILLS",IGNDPS,105,5,82,17,1,56,1,2024-07-30
2023-2024,05,18,ASSAM,282,CACHAR,IGNDPS,2144,367,39,1421,317,1204,1385,2024-07-30
2023-2024,05,18,ASSAM,283,DARRANG,IGNDPS,1142,29,1,1042,70,531,953,2024-07-30
2023-2024,05,18,ASSAM,286,DIBRUGARH,IGNDPS,273,6,9,235,23,168,181,2024-07-30
2023-2024,05,18,ASSAM,287,GOALPARA,IGNDPS,1274,33,74,1132,35,886,931,2024-07-30
2023-2024,05,18,ASSAM,295,LAKHIMPUR,IGNDPS,1458,76,209,957,216,1202,835,2024-07-30
2023-2024,05,18,ASSAM,616,BAKSA,IGNDPS,1295,131,363,620,181,739,564,2024-07-30
2023-2024,05,18,ASSAM,618,"KAMRUP METRO",IGNDPS,125,16,14,86,9,107,113,2024-07-30
2023-2024,05,19,"WEST BENGAL",303,"24 PARGANAS NORTH",IGNDPS,4468,993,105,3214,144,4332,2665,2024-07-30
2023-2024,05,19,"WEST BENGAL",304,"24 PARGANAS SOUTH",IGNDPS,2027,396,53,1558,10,1907,1201,2024-07-30
2023-2024,05,19,"WEST BENGAL",305,BANKURA,IGNDPS,1261,416,85,711,49,1196,1004,2024-07-30
2023-2024,05,19,"WEST BENGAL",310,"DINAJPUR DAKSHIN",IGNDPS,604,146,43,404,11,573,253,2024-07-30
